chapter,verse,speaker,sanskrit,translation,question,augmented_response,book
1,1,धृतराष्ट्र,धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः| मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय  || 1.1 || ,"Dhritarashtra said, ""What did my people and the sons of Pandu do when they had assembled together, eager for battle, on the holy plain of Kurukshetra, O Sanjaya?""",How does the Gita start?,"According to the Bhagavad Gita, Chapter 1, Verse 1, the Gita starts with Dhritarashtra's inquiry to Sanjaya, asking about the actions of his people (Kauravas) and the Pandavas when they assembled together on the holy plain of Kurukshetra, eager for battle.

The sloka associated with this answer is:
धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः| मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय  || 1.1 || ",Bhagwad Gita
1,2,सञ्जय,दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा| आचार्यमुपसङ्गम्य राजा वचनमब्रवीत्  || 1.2 || ,"Sanjaya said: Having seen the army of the Pandavas drawn up in battle array, King Duryodhana approached his teacher, Drona, and spoke these words.","In the Mahabharata war, whom did Duryodhana first talk to?","According to Chapter 1, Verse 2 of the Bhagavad Gita, Duryodhana first talked to his teacher, Drona.

The sloka associated with this answer is:
दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा| आचार्यमुपसङ्गम्य राजा वचनमब्रवीत्  || 1.2 || ",Bhagwad Gita
1,3,सञ्जय,पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम्| व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता  || 1.3 || ,"Behold, O Teacher! This mighty army of the sons of Pandu, arrayed by the son of Drupada, thy wise disciple.","What did Duryodhana say to his teacher, Drona?","The speaker is not Duryodhana, but Sanjaya, who is narrating the scene to Dhritarashtra. According to the verse, Sanjaya is describing the army of the Pandavas, led by Dhrishtadyumna, the son of Drupada, to Dhritarashtra. Therefore, there is no statement from Duryodhana to Drona in this verse.

The sloka associated with this answer is:
पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम्| व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता  || 1.3 || ",Bhagwad Gita
1,4,सञ्जय,अत्र शूरा महेष्वासा भीमार्जुनसमा युधि| युयुधानो विराटश्च द्रुपदश्च महारथः  || 1.4 || ,"Here are heroes, mighty archers, equal in battle to Bhima and Arjuna, Yuyudhana (Satyaki), Virata, and Drupada—all mighty warriors.",Which warriors from the Pandava army did Duryodhana first talk about?,"According to Bhagavad Gita Chapter 1, Verse 4, spoken by Sanjaya, Duryodhana first talked about the warriors Yuyudhana (Satyaki), Virata, and Drupada, who are all from the Pandava army and are equal in battle to Bhima and Arjuna.

The sloka associated with this answer is:
अत्र शूरा महेष्वासा भीमार्जुनसमा युधि| युयुधानो विराटश्च द्रुपदश्च महारथः  || 1.4 || ",Bhagwad Gita
1,5,सञ्जय,धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान्| पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गवः  || 1.5 || ,"Dhrishtaketu, Chekitana, the valiant king of Kasi, Purujit, Kuntibhoja, and Saibya—the best of men.",Who was the king from Kashi who fought in the Mahabharata war?,"According to Bhagavad Gita, Chapter 1, Verse 5, the king from Kashi who fought in the Mahabharata war is Chekitana.

The sloka associated with this answer is:
धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान्| पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गवः  || 1.5 || ",Bhagwad Gita
1,6,सञ्जय,युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान्| सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः  ||  || 1.6 || ,"The strong Yudhamanyu and the brave Uttamaujas, the son of Subhadra (Abhimanyu, the son of Subhadra and Arjuna), and the sons of Draupadi, all of them great charioteers (great heroes).""",Which other warriors from the Pandava army did Duryodhana talk about?,"According to Bhagavad Gita Chapter 1, Verse 6, Sanjay mentions that Duryodhana spoke about Yudhamanyu, Uttamaujas, Abhimanyu (son of Subhadra and Arjuna), and the sons of Draupadi, all of whom are great heroes.

The sloka associated with this answer is:
युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान्| सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः  ||  || 1.6 || ",Bhagwad Gita
1,7,सञ्जय,अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम| नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते  || 1.7 || ,"Know also, O best among the twice-born! the names of those who are the most distinguished amongst ourselves, the leaders of my army; these I name to you for your information.",Why was Duryodhana taking names of all the warriors in the Mahabharata war?,"According to Bhagavad Gita, Chapter 1, Verse 7, Sanjay is not mentioning the names of warriors, but rather Arjuna's cousins, who are the leaders of Duryodhana's army, not Duryodhana himself. Sanjay is reporting to Dhritarashtra, telling him about the leaders of Duryodhana's army, not Duryodhana taking names.

The sloka associated with this answer is:
अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम| नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते  || 1.7 || ",Bhagwad Gita
1,8,सञ्जय,भवान्भीष्मश्च कर्णश्च कृपश्च समितिञ्जयः| अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च  || 1.8 || ,"""Thou thyself, Bhishma, Karna, Kripa, the victorious in war, Asvatthama, Vikarna, and Bhurisrava, the son of Somadatta—all these are ready for battle.""",Who were the warriors on the Kaurava side that Duryodhana mentioned about?,"Based on the provided information, the answer is:

The warriors on the Kaurava side mentioned by Sanjaya are Bhishma, Karna, Kripa, Asvatthama, Vikarna, Bhurisrava, and Somadatta's son.

The sloka associated with this answer is:
भवान्भीष्मश्च कर्णश्च कृपश्च समितिञ्जयः| अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च  || 1.8 || ",Bhagwad Gita
1,9,सञ्जय,अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः| नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः  || 1.9 ||,"And also many other heroes, ready to give up their lives for my sake, armed with various weapons and missiles, all well-skilled in battle.",What did Duryodhana say about the warriors on his side in the Mahabharata war?,"Based on the provided input, the question is incorrect. The verse is spoken by Sanjay (सञ्जय) in Chapter 1, Verse 9, and it describes the warriors on the side of Arjuna, not Duryodhana. The verse states:

""And also many other heroes, ready to give up their lives for my sake, armed with various weapons and missiles, all well-skilled in battle.""

This verse is describing the warriors who are on Arjuna's side, not Duryodhana's.

The sloka associated with this answer is:
अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः| नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः  || 1.9 ||",Bhagwad Gita
1,10,सञ्जय,अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम्| पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम्  || 1.10 || ,"Our army, marshalled by Bhishma, is insufficient, whereas theirs, marshalled by Bhima, is sufficient.",What did Duryodhana say while comparing his army with the Pandava army?,"The question is incorrect. The verse provided (Bhagavad Gita, Chapter 1, Verse 10) is spoken by Sanjay, not Duryodhana. The verse states: ""Our army, marshalled by Bhishma, is insufficient, whereas theirs, marshalled by Bhima, is sufficient."" This is a statement made by Sanjay, describing the armies of the two sides.

The sloka associated with this answer is:
अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम्| पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम्  || 1.10 || ",Bhagwad Gita
